here
CPU_CLK_UNHALTED 51387010 129365
INST_RETIRED 75658062 616484
MEM_INST_RETIRED.ALL_LOADS 29342996 286772
MEM_INST_RETIRED.ALL_STORES 5114111 45594
L1D.REPLACEMENT 3567735 14125
L2_LINES_IN.ALL 1911285 9384
IDQ_UOPS_NOT_DELIVERED.CORE 17943432 398647
UOPS_ISSUED.ANY 67109170 416780
INT_MISC.RECOVERY_CYCLES_ANY 1606032 22844
UOPS_RETIRED.RETIRE_SLOTS 39681035 480403
CYCLE_ACTIVITY.STALLS_MEM_ANY 4220293 26289
EXE_ACTIVITY.BOUND_ON_STORES 10210 2999
EXE_ACTIVITY.1_PORTS_UTIL 3140050 32513
EXE_ACTIVITY.2_PORTS_UTIL 3044125 9297
EXE_ACTIVITY.EXE_BOUND_0_PORTS 141269 514
CYCLE_ACTIVITY.STALLS_L1D_MISS 1365645 2523
CYCLE_ACTIVITY.STALLS_L2_MISS 900533 0
CYCLE_ACTIVITY.STALLS_L3_MISS 178198 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 157 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 257 0


CPU_CLK_UNHALTED 258322547 2064582
INST_RETIRED 370823820 12053559
MEM_INST_RETIRED.ALL_LOADS 149997041 6072779
MEM_INST_RETIRED.ALL_STORES 29264689 364584
L1D.REPLACEMENT 18743229 1413910
L2_LINES_IN.ALL 10036237 1007243
IDQ_UOPS_NOT_DELIVERED.CORE 151122520 12147718
UOPS_ISSUED.ANY 518018110 10366336
INT_MISC.RECOVERY_CYCLES_ANY 16469820 1532044
UOPS_RETIRED.RETIRE_SLOTS 326531253 9530316
CYCLE_ACTIVITY.STALLS_MEM_ANY 34191815 2472153
EXE_ACTIVITY.BOUND_ON_STORES 58786 20778
EXE_ACTIVITY.1_PORTS_UTIL 35730549 1187767
EXE_ACTIVITY.2_PORTS_UTIL 43231643 663198
EXE_ACTIVITY.EXE_BOUND_0_PORTS 2532675 92524
