here
CPU_CLK_UNHALTED 43242824 255243
INST_RETIRED 61503052 519775
MEM_INST_RETIRED.ALL_LOADS 12207565 123202
MEM_INST_RETIRED.ALL_STORES 5013205 43084
L1D.REPLACEMENT 672450 7753
L2_LINES_IN.ALL 69040 1058
IDQ_UOPS_NOT_DELIVERED.CORE 4326115 60985
UOPS_ISSUED.ANY 41102557 1387698
INT_MISC.RECOVERY_CYCLES_ANY 69482 7104
UOPS_RETIRED.RETIRE_SLOTS 33836064 1094899
CYCLE_ACTIVITY.STALLS_MEM_ANY 1929202 11051
EXE_ACTIVITY.BOUND_ON_STORES 1808 1309
EXE_ACTIVITY.1_PORTS_UTIL 4813739 40783
EXE_ACTIVITY.2_PORTS_UTIL 3528852 53212
EXE_ACTIVITY.EXE_BOUND_0_PORTS 0 0
CYCLE_ACTIVITY.STALLS_L1D_MISS 0 0
CYCLE_ACTIVITY.STALLS_L2_MISS 0 0
CYCLE_ACTIVITY.STALLS_L3_MISS 0 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 0 0


CPU_CLK_UNHALTED 216034434 3263749
INST_RETIRED 316538698 7290536
MEM_INST_RETIRED.ALL_LOADS 66817641 1339967
MEM_INST_RETIRED.ALL_STORES 28932944 462857
L1D.REPLACEMENT 4008181 108378
L2_LINES_IN.ALL 461405 11069
IDQ_UOPS_NOT_DELIVERED.CORE 29867841 373802
UOPS_ISSUED.ANY 306818097 5134161
INT_MISC.RECOVERY_CYCLES_ANY 558815 29548
UOPS_RETIRED.RETIRE_SLOTS 295595336 4872938
CYCLE_ACTIVITY.STALLS_MEM_ANY 18352186 255852
EXE_ACTIVITY.BOUND_ON_STORES 8921 5208
EXE_ACTIVITY.1_PORTS_UTIL 57827334 540634
EXE_ACTIVITY.2_PORTS_UTIL 48308945 535134
EXE_ACTIVITY.EXE_BOUND_0_PORTS 14379810 370698
CYCLE_ACTIVITY.STALLS_L1D_MISS 834609 67332
CYCLE_ACTIVITY.STALLS_L2_MISS 486343 41488
CYCLE_ACTIVITY.STALLS_L3_MISS 428028 35476
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 481215 40184


CPU_CLK_UNHALTED 383165008 8568187
INST_RETIRED 564289562 18326101
MEM_INST_RETIRED.ALL_LOADS 116901418 4280278
MEM_INST_RETIRED.ALL_STORES 51630678 1439076
L1D.REPLACEMENT 7243950 241887
L2_LINES_IN.ALL 780151 44064
IDQ_UOPS_NOT_DELIVERED.CORE 54059755 1427057
UOPS_ISSUED.ANY 553551069 17724783
INT_MISC.RECOVERY_CYCLES_ANY 955879 70035
UOPS_RETIRED.RETIRE_SLOTS 539971713 15928824
CYCLE_ACTIVITY.STALLS_MEM_ANY 35010040 594738
EXE_ACTIVITY.BOUND_ON_STORES 12385 5435
EXE_ACTIVITY.1_PORTS_UTIL 109462951 1630395
EXE_ACTIVITY.2_PORTS_UTIL 91276948 1665892
EXE_ACTIVITY.EXE_BOUND_0_PORTS 28898653 1225803
CYCLE_ACTIVITY.STALLS_L1D_MISS 1572555 155396
CYCLE_ACTIVITY.STALLS_L2_MISS 860548 87097
CYCLE_ACTIVITY.STALLS_L3_MISS 784685 61427
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 877807 72861


CPU_CLK_UNHALTED 521715451 74570530
INST_RETIRED 750370844 191674331
MEM_INST_RETIRED.ALL_LOADS 154460999 33689033
MEM_INST_RETIRED.ALL_STORES 71517513 7320195
L1D.REPLACEMENT 10057266 974946
