here
CPU_CLK_UNHALTED 8961870 590107
INST_RETIRED 3820441 282688
MEM_INST_RETIRED.ALL_LOADS 1 0
MEM_INST_RETIRED.ALL_STORES 2910875 259357
L1D.REPLACEMENT 7585 597
L2_LINES_IN.ALL 10138 513
IDQ_UOPS_NOT_DELIVERED.CORE 1664521 12768
UOPS_ISSUED.ANY 4778945 36235
INT_MISC.RECOVERY_CYCLES_ANY 235234 2540
UOPS_RETIRED.RETIRE_SLOTS 3486462 24363
CYCLE_ACTIVITY.STALLS_MEM_ANY 66762 7286
EXE_ACTIVITY.BOUND_ON_STORES 1198770 14001
EXE_ACTIVITY.1_PORTS_UTIL 894094 7603
EXE_ACTIVITY.2_PORTS_UTIL 302019 2643
EXE_ACTIVITY.EXE_BOUND_0_PORTS 0 0
CYCLE_ACTIVITY.STALLS_L1D_MISS 0 0
CYCLE_ACTIVITY.STALLS_L2_MISS 0 0
CYCLE_ACTIVITY.STALLS_L3_MISS 0 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 0 0


CPU_CLK_UNHALTED 44941164 5724806
INST_RETIRED 20236265 2702958
MEM_INST_RETIRED.ALL_LOADS 3 0
MEM_INST_RETIRED.ALL_STORES 17276203 2225786
L1D.REPLACEMENT 39009 6330
L2_LINES_IN.ALL 60134 5490
IDQ_UOPS_NOT_DELIVERED.CORE 11591414 67928
UOPS_ISSUED.ANY 35667906 344595
INT_MISC.RECOVERY_CYCLES_ANY 1891286 15112
UOPS_RETIRED.RETIRE_SLOTS 30530107 281923
CYCLE_ACTIVITY.STALLS_MEM_ANY 640723 43789
EXE_ACTIVITY.BOUND_ON_STORES 12227830 196089
EXE_ACTIVITY.1_PORTS_UTIL 10687416 67846
EXE_ACTIVITY.2_PORTS_UTIL 4058832 43095
EXE_ACTIVITY.EXE_BOUND_0_PORTS 2432322 12820
CYCLE_ACTIVITY.STALLS_L1D_MISS 112714 8736
CYCLE_ACTIVITY.STALLS_L2_MISS 110847 9710
CYCLE_ACTIVITY.STALLS_L3_MISS 0 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 1218 1188


CPU_CLK_UNHALTED 198507806 83633029
INST_RETIRED 245395352 33163730
MEM_INST_RETIRED.ALL_LOADS 46863932 49951578
MEM_INST_RETIRED.ALL_STORES 35200603 13232240
L1D.REPLACEMENT 6525310 5285508
L2_LINES_IN.ALL 5252818 3619910
IDQ_UOPS_NOT_DELIVERED.CORE 66551811 103240695
UOPS_ISSUED.ANY 264422263 84587002
INT_MISC.RECOVERY_CYCLES_ANY 2564123 626180
UOPS_RETIRED.RETIRE_SLOTS 256806388 86061574
CYCLE_ACTIVITY.STALLS_MEM_ANY 26097555 18839362
EXE_ACTIVITY.BOUND_ON_STORES 25183589 11695247
EXE_ACTIVITY.1_PORTS_UTIL 44339381 14401199
EXE_ACTIVITY.2_PORTS_UTIL 41094202 21218421
EXE_ACTIVITY.EXE_BOUND_0_PORTS 8298139 3176629
CYCLE_ACTIVITY.STALLS_L1D_MISS 33744013 37587970
CYCLE_ACTIVITY.STALLS_L2_MISS 7158079 4732967
CYCLE_ACTIVITY.STALLS_L3_MISS 22983915 32629952
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 5356 6690
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 19916949 24467098


CPU_CLK_UNHALTED 377261178 53989369
INST_RETIRED 518121314 123048574
MEM_INST_RETIRED.ALL_LOADS 106246381 77285880
MEM_INST_RETIRED.ALL_STORES 67310242 22922601
L1D.REPLACEMENT 20971108 12821512
L2_LINES_IN.ALL 13961595 7740413
