here
CPU_CLK_UNHALTED 13299710 44142
INST_RETIRED 7890 16
MEM_INST_RETIRED.ALL_LOADS 19 0
MEM_INST_RETIRED.ALL_STORES 0 0
L1D.REPLACEMENT 3703 498
L2_LINES_IN.ALL 13148 103
IDQ_UOPS_NOT_DELIVERED.CORE 8633074 27002
UOPS_ISSUED.ANY 6119062 12621
INT_MISC.RECOVERY_CYCLES_ANY 529600 889
UOPS_RETIRED.RETIRE_SLOTS 3592405 10159
CYCLE_ACTIVITY.STALLS_MEM_ANY 89235 7627
EXE_ACTIVITY.BOUND_ON_STORES 687510 1547
EXE_ACTIVITY.1_PORTS_UTIL 674766 2140
EXE_ACTIVITY.2_PORTS_UTIL 603968 996
EXE_ACTIVITY.EXE_BOUND_0_PORTS 416222 420
CYCLE_ACTIVITY.STALLS_L1D_MISS 4683 13
CYCLE_ACTIVITY.STALLS_L2_MISS 3567 0
CYCLE_ACTIVITY.STALLS_L3_MISS 0 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 0 0


CPU_CLK_UNHALTED 67665106 198944
INST_RETIRED 41844 298
MEM_INST_RETIRED.ALL_LOADS 20 0
MEM_INST_RETIRED.ALL_STORES 0 0
L1D.REPLACEMENT 19097 3050
L2_LINES_IN.ALL 85986 1058
IDQ_UOPS_NOT_DELIVERED.CORE 60270984 481244
UOPS_ISSUED.ANY 45624526 345826
INT_MISC.RECOVERY_CYCLES_ANY 4259378 29375
UOPS_RETIRED.RETIRE_SLOTS 31487043 224149
CYCLE_ACTIVITY.STALLS_MEM_ANY 814280 45541
EXE_ACTIVITY.BOUND_ON_STORES 7355429 46904
EXE_ACTIVITY.1_PORTS_UTIL 8195805 48326
EXE_ACTIVITY.2_PORTS_UTIL 8379608 61522
EXE_ACTIVITY.EXE_BOUND_0_PORTS 6827443 43076
CYCLE_ACTIVITY.STALLS_L1D_MISS 95634 3328
CYCLE_ACTIVITY.STALLS_L2_MISS 96316 2629
CYCLE_ACTIVITY.STALLS_L3_MISS 0 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 1807 2704


CPU_CLK_UNHALTED 120353808 968589
INST_RETIRED 74614 789
MEM_INST_RETIRED.ALL_LOADS 20 0
MEM_INST_RETIRED.ALL_STORES 0 0
L1D.REPLACEMENT 35418 2732
L2_LINES_IN.ALL 160908 3685
IDQ_UOPS_NOT_DELIVERED.CORE 110519030 1446306
UOPS_ISSUED.ANY 84045613 1010654
INT_MISC.RECOVERY_CYCLES_ANY 7873512 99748
UOPS_RETIRED.RETIRE_SLOTS 58560568 688953
CYCLE_ACTIVITY.STALLS_MEM_ANY 1531462 77567
EXE_ACTIVITY.BOUND_ON_STORES 13798583 170940
EXE_ACTIVITY.1_PORTS_UTIL 15381172 220231
EXE_ACTIVITY.2_PORTS_UTIL 15913579 204767
EXE_ACTIVITY.EXE_BOUND_0_PORTS 13057796 152849
CYCLE_ACTIVITY.STALLS_L1D_MISS 186178 6143
CYCLE_ACTIVITY.STALLS_L2_MISS 189376 7526
CYCLE_ACTIVITY.STALLS_L3_MISS 0 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 4042 2296


CPU_CLK_UNHALTED 172566760 2188737
INST_RETIRED 107486 1467
MEM_INST_RETIRED.ALL_LOADS 20 0
MEM_INST_RETIRED.ALL_STORES 0 0
L1D.REPLACEMENT 865965 4122
L2_LINES_IN.ALL 236156 7544
IDQ_UOPS_NOT_DELIVERED.CORE 160405046 2665323
UOPS_ISSUED.ANY 122046698 1949083
INT_MISC.RECOVERY_CYCLES_ANY 11468875 177175
UOPS_RETIRED.RETIRE_SLOTS 85396782 1327214
CYCLE_ACTIVITY.STALLS_MEM_ANY 2270768 93884
EXE_ACTIVITY.BOUND_ON_STORES 20205900 312071
EXE_ACTIVITY.1_PORTS_UTIL 22525023 421570
EXE_ACTIVITY.2_PORTS_UTIL 23433303 354841
EXE_ACTIVITY.EXE_BOUND_0_PORTS 19287034 260257
CYCLE_ACTIVITY.STALLS_L1D_MISS 345736 112424
CYCLE_ACTIVITY.STALLS_L2_MISS 283162 8332
CYCLE_ACTIVITY.STALLS_L3_MISS 0 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 70702 34107


CPU_CLK_UNHALTED 381961007 191242446
INST_RETIRED 106216 43594
MEM_INST_RETIRED.ALL_LOADS 20 0
MEM_INST_RETIRED.ALL_STORES 0 0
L1D.REPLACEMENT 11308988 5766379
L2_LINES_IN.ALL 11188345 14103179
IDQ_UOPS_NOT_DELIVERED.CORE 158662923 63746426
UOPS_ISSUED.ANY 136536494 28804856
INT_MISC.RECOVERY_CYCLES_ANY 11342236 4292803
UOPS_RETIRED.RETIRE_SLOTS 100169776 14777385
CYCLE_ACTIVITY.STALLS_MEM_ANY 2320586 382099
EXE_ACTIVITY.BOUND_ON_STORES 223961017 223089284
EXE_ACTIVITY.1_PORTS_UTIL 30214102 587985
EXE_ACTIVITY.2_PORTS_UTIL 25744866 5637144
EXE_ACTIVITY.EXE_BOUND_0_PORTS 19126301 7169253
CYCLE_ACTIVITY.STALLS_L1D_MISS 635282 401585
CYCLE_ACTIVITY.STALLS_L2_MISS 608510 162703
CYCLE_ACTIVITY.STALLS_L3_MISS 289073 375417
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 386353 153708


CPU_CLK_UNHALTED 581637663 100196664
INST_RETIRED 363542717 102762296
MEM_INST_RETIRED.ALL_LOADS 91749701 37495754
MEM_INST_RETIRED.ALL_STORES 39999195 82204384
L1D.REPLACEMENT 12234292 9466186
L2_LINES_IN.ALL 11460878 18977908
IDQ_UOPS_NOT_DELIVERED.CORE 369312464 244918754
UOPS_ISSUED.ANY 571154786 246831312
INT_MISC.RECOVERY_CYCLES_ANY 22457240 11909661
UOPS_RETIRED.RETIRE_SLOTS 452604408 167099865
CYCLE_ACTIVITY.STALLS_MEM_ANY 27291860 6900847
EXE_ACTIVITY.BOUND_ON_STORES 234554960 26374271
EXE_ACTIVITY.1_PORTS_UTIL 55229542 23116109
EXE_ACTIVITY.2_PORTS_UTIL 60868703 38620100
EXE_ACTIVITY.EXE_BOUND_0_PORTS 21389169 9780524
CYCLE_ACTIVITY.STALLS_L1D_MISS 10620816 13646102
CYCLE_ACTIVITY.STALLS_L2_MISS 9031208 4743024
CYCLE_ACTIVITY.STALLS_L3_MISS 9335393 13431436
