here
CPU_CLK_UNHALTED 49979280 33848
CYCLE_ACTIVITY.STALLS_L1D_MISS 6943856 105346
CYCLE_ACTIVITY.STALLS_L2_MISS 5818845 103307
CYCLE_ACTIVITY.STALLS_L3_MISS 2852427 118913
CYCLE_ACTIVITY.STALLS_MEM_ANY 7550094 85989
EXE_ACTIVITY.1_PORTS_UTIL 5654170 48979
EXE_ACTIVITY.2_PORTS_UTIL 6181710 44739
EXE_ACTIVITY.BOUND_ON_STORES 15133 2784
EXE_ACTIVITY.EXE_BOUND_0_PORTS 428589 5218
IDQ_UOPS_NOT_DELIVERED.CORE 16467408 291333
INST_RETIRED 30459354 569053
INT_MISC.RECOVERY_CYCLES_ANY 1483248 22783
L1D.REPLACEMENT 1200917 29355
L2_LINES_IN.ALL 557507 15085
MEM_INST_RETIRED.ALL_LOADS 0 0
MEM_INST_RETIRED.ALL_STORES 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 0 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 0 0
UOPS_RETIRED.RETIRE_SLOTS 0 0


CPU_CLK_UNHALTED 258392665 485244
CYCLE_ACTIVITY.STALLS_L1D_MISS 27916848 5897918
CYCLE_ACTIVITY.STALLS_L2_MISS 23139789 5707993
CYCLE_ACTIVITY.STALLS_L3_MISS 7512811 5146092
CYCLE_ACTIVITY.STALLS_MEM_ANY 38958328 5335500
EXE_ACTIVITY.1_PORTS_UTIL 36630406 601659
EXE_ACTIVITY.2_PORTS_UTIL 46442550 930395
EXE_ACTIVITY.BOUND_ON_STORES 127339 12962
EXE_ACTIVITY.EXE_BOUND_0_PORTS 3637706 50954
IDQ_UOPS_NOT_DELIVERED.CORE 162224968 6031632
INST_RETIRED 305860079 4242649
INT_MISC.RECOVERY_CYCLES_ANY 18143747 792950
L1D.REPLACEMENT 14334345 478175
L2_LINES_IN.ALL 7428450 359226
MEM_INST_RETIRED.ALL_LOADS 119665661 1162389
MEM_INST_RETIRED.ALL_STORES 24682234 219803
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 3441966 1636078
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 16650 16064
UOPS_ISSUED.ANY 457831979 4039003
UOPS_RETIRED.RETIRE_SLOTS 272514553 2725680


CPU_CLK_UNHALTED 455053513 6092077
CYCLE_ACTIVITY.STALLS_L1D_MISS 43137464 12282121
CYCLE_ACTIVITY.STALLS_L2_MISS 35660774 7885592
CYCLE_ACTIVITY.STALLS_L3_MISS 9029545 3940141
CYCLE_ACTIVITY.STALLS_MEM_ANY 65911684 11333240
EXE_ACTIVITY.1_PORTS_UTIL 64736464 2224662
EXE_ACTIVITY.2_PORTS_UTIL 85420516 1862451
EXE_ACTIVITY.BOUND_ON_STORES 169067 48161
EXE_ACTIVITY.EXE_BOUND_0_PORTS 6728920 141624
IDQ_UOPS_NOT_DELIVERED.CORE 317061614 14219877
INST_RETIRED 541569095 26803607
INT_MISC.RECOVERY_CYCLES_ANY 36422895 2055614
L1D.REPLACEMENT 24618526 2191343
L2_LINES_IN.ALL 12038618 1652857
MEM_INST_RETIRED.ALL_LOADS 213840143 9660958
MEM_INST_RETIRED.ALL_STORES 45872053 1437005
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 5097765 1166459
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 24083 11252
UOPS_ISSUED.ANY 889149824 15690972
UOPS_RETIRED.RETIRE_SLOTS 507888662 24537920


CPU_CLK_UNHALTED 653403687 12377030
CYCLE_ACTIVITY.STALLS_L1D_MISS 57080673 18387359
CYCLE_ACTIVITY.STALLS_L2_MISS 46063059 10891375
CYCLE_ACTIVITY.STALLS_L3_MISS 10198733 3698786
CYCLE_ACTIVITY.STALLS_MEM_ANY 92495596 17512093
EXE_ACTIVITY.1_PORTS_UTIL 92341848 4245339
EXE_ACTIVITY.2_PORTS_UTIL 124890222 2694369
EXE_ACTIVITY.BOUND_ON_STORES 228152 52687
EXE_ACTIVITY.EXE_BOUND_0_PORTS 9893745 221814
IDQ_UOPS_NOT_DELIVERED.CORE 480839040 29317262
INST_RETIRED 764129977 56507540
INT_MISC.RECOVERY_CYCLES_ANY 55681754 3854688
L1D.REPLACEMENT 34005211 4605220
L2_LINES_IN.ALL 16340810 3262864
MEM_INST_RETIRED.ALL_LOADS 304542369 23488383
MEM_INST_RETIRED.ALL_STORES 66627171 2953110
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 6483791 1133404
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 27416 11061
UOPS_ISSUED.ANY 1322354007 26450727
UOPS_RETIRED.RETIRE_SLOTS 733196116 55155068


CPU_CLK_UNHALTED 851921069 18116638
CYCLE_ACTIVITY.STALLS_L1D_MISS 69916125 24163937
CYCLE_ACTIVITY.STALLS_L2_MISS 55466803 13870455
CYCLE_ACTIVITY.STALLS_L3_MISS 11142472 3608629
CYCLE_ACTIVITY.STALLS_MEM_ANY 118633299 23636248
EXE_ACTIVITY.1_PORTS_UTIL 119333085 7050877
EXE_ACTIVITY.2_PORTS_UTIL 164218132 3490792
