here
CPU_CLK_UNHALTED 41535275 499292
CYCLE_ACTIVITY.STALLS_L1D_MISS 215700 15440
CYCLE_ACTIVITY.STALLS_L2_MISS 136282 16777
CYCLE_ACTIVITY.STALLS_L3_MISS 130607 9043
CYCLE_ACTIVITY.STALLS_MEM_ANY 3136744 59960
EXE_ACTIVITY.1_PORTS_UTIL 9144754 381528
EXE_ACTIVITY.2_PORTS_UTIL 7190372 316491
EXE_ACTIVITY.BOUND_ON_STORES 3366 5204
EXE_ACTIVITY.EXE_BOUND_0_PORTS 1789214 62297
IDQ_UOPS_NOT_DELIVERED.CORE 3284018 56359
INST_RETIRED 29561724 448856
INT_MISC.RECOVERY_CYCLES_ANY 46716 2087
L1D.REPLACEMENT 300000 3029
L2_LINES_IN.ALL 29870 974
MEM_INST_RETIRED.ALL_LOADS 3442585 41680
MEM_INST_RETIRED.ALL_STORES 1203311 226
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 27706 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 3305840 0
UOPS_RETIRED.RETIRE_SLOTS 88276 0


CPU_CLK_UNHALTED 213329490 3237491
CYCLE_ACTIVITY.STALLS_L1D_MISS 1078289 85174
CYCLE_ACTIVITY.STALLS_L2_MISS 753569 75779
CYCLE_ACTIVITY.STALLS_L3_MISS 632380 60497
CYCLE_ACTIVITY.STALLS_MEM_ANY 19840766 268243
EXE_ACTIVITY.1_PORTS_UTIL 61353455 1589397
EXE_ACTIVITY.2_PORTS_UTIL 51413672 1307281
EXE_ACTIVITY.BOUND_ON_STORES 23120 14679
EXE_ACTIVITY.EXE_BOUND_0_PORTS 15422338 605515
IDQ_UOPS_NOT_DELIVERED.CORE 28640699 413029
INST_RETIRED 285359289 4224525
INT_MISC.RECOVERY_CYCLES_ANY 480341 16475
L1D.REPLACEMENT 3615886 53818
L2_LINES_IN.ALL 414471 20390
MEM_INST_RETIRED.ALL_LOADS 57238229 694446
MEM_INST_RETIRED.ALL_STORES 24731673 378741
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 608552 51106
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 264286828 3556679
UOPS_RETIRED.RETIRE_SLOTS 257705565 3291047


CPU_CLK_UNHALTED 382415621 7043662
CYCLE_ACTIVITY.STALLS_L1D_MISS 1893607 205604
CYCLE_ACTIVITY.STALLS_L2_MISS 1218326 83671
CYCLE_ACTIVITY.STALLS_L3_MISS 1074666 61538
CYCLE_ACTIVITY.STALLS_MEM_ANY 36760822 555485
EXE_ACTIVITY.1_PORTS_UTIL 112832733 3290960
EXE_ACTIVITY.2_PORTS_UTIL 93859950 2913517
EXE_ACTIVITY.BOUND_ON_STORES 43039 12252
EXE_ACTIVITY.EXE_BOUND_0_PORTS 29809215 1456272
IDQ_UOPS_NOT_DELIVERED.CORE 52743293 1235551
INST_RETIRED 531179712 12157268
INT_MISC.RECOVERY_CYCLES_ANY 877756 45226
L1D.REPLACEMENT 6774600 152566
L2_LINES_IN.ALL 777176 43502
MEM_INST_RETIRED.ALL_LOADS 108207515 2631919
MEM_INST_RETIRED.ALL_STORES 47259330 1104262
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 1133131 57611
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 514709500 11201859
UOPS_RETIRED.RETIRE_SLOTS 506833402 9563582


CPU_CLK_UNHALTED 505449885 76481303
CYCLE_ACTIVITY.STALLS_L1D_MISS 3480222 1609567
CYCLE_ACTIVITY.STALLS_L2_MISS 2044836 324642
CYCLE_ACTIVITY.STALLS_L3_MISS 1829891 766126
CYCLE_ACTIVITY.STALLS_MEM_ANY 46989428 9603746
EXE_ACTIVITY.1_PORTS_UTIL 146871389 21911284
EXE_ACTIVITY.2_PORTS_UTIL 122074639 23098717
EXE_ACTIVITY.BOUND_ON_STORES 9553706 10352795
EXE_ACTIVITY.EXE_BOUND_0_PORTS 38005834 8420186
IDQ_UOPS_NOT_DELIVERED.CORE 87401025 47093094
INST_RETIRED 704133279 131971222
INT_MISC.RECOVERY_CYCLES_ANY 1848275 1743249
L1D.REPLACEMENT 10122951 1790795
L2_LINES_IN.ALL 1618193 1157500
MEM_INST_RETIRED.ALL_LOADS 146413449 43389138
MEM_INST_RETIRED.ALL_STORES 65112909 7223059
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 2100234 279838
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 23037 98074
UOPS_ISSUED.ANY 692430626 154531168
UOPS_RETIRED.RETIRE_SLOTS 681500283 136890415


CPU_CLK_UNHALTED 647431594 98422859
CYCLE_ACTIVITY.STALLS_L1D_MISS 8813701 4435505
CYCLE_ACTIVITY.STALLS_L2_MISS 4743708 1018880
CYCLE_ACTIVITY.STALLS_L3_MISS 4723830 1852687
CYCLE_ACTIVITY.STALLS_MEM_ANY 59247015 12968226
EXE_ACTIVITY.1_PORTS_UTIL 177695833 35867836
