here
CPU_CLK_UNHALTED 9028178 31197
CYCLE_ACTIVITY.STALLS_L1D_MISS 25425 4610
CYCLE_ACTIVITY.STALLS_L2_MISS 24493 4987
CYCLE_ACTIVITY.STALLS_L3_MISS 995 4747
CYCLE_ACTIVITY.STALLS_MEM_ANY 137068 5527
EXE_ACTIVITY.1_PORTS_UTIL 1763789 3538
EXE_ACTIVITY.2_PORTS_UTIL 631927 3182
EXE_ACTIVITY.BOUND_ON_STORES 1686411 7438
EXE_ACTIVITY.EXE_BOUND_0_PORTS 314997 624
IDQ_UOPS_NOT_DELIVERED.CORE 1249738 5057
INST_RETIRED 1923883 5066
INT_MISC.RECOVERY_CYCLES_ANY 167810 331
L1D.REPLACEMENT 3685 110
L2_LINES_IN.ALL 4736 31
MEM_INST_RETIRED.ALL_LOADS 5 0
MEM_INST_RETIRED.ALL_STORES 748468 26
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 0 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 401350 0
UOPS_RETIRED.RETIRE_SLOTS 9629 0


CPU_CLK_UNHALTED 46523733 131174
CYCLE_ACTIVITY.STALLS_L1D_MISS 139677 15543
CYCLE_ACTIVITY.STALLS_L2_MISS 129698 13025
CYCLE_ACTIVITY.STALLS_L3_MISS 3012 9404
CYCLE_ACTIVITY.STALLS_MEM_ANY 852775 19233
EXE_ACTIVITY.1_PORTS_UTIL 11662770 61045
EXE_ACTIVITY.2_PORTS_UTIL 4367611 44094
EXE_ACTIVITY.BOUND_ON_STORES 12740559 71054
EXE_ACTIVITY.EXE_BOUND_0_PORTS 2569659 16092
IDQ_UOPS_NOT_DELIVERED.CORE 11106884 87308
INST_RETIRED 18994803 75284
INT_MISC.RECOVERY_CYCLES_ANY 1822138 11492
L1D.REPLACEMENT 56375 9797
L2_LINES_IN.ALL 68502 1813
MEM_INST_RETIRED.ALL_LOADS 9 0
MEM_INST_RETIRED.ALL_STORES 15410249 117091
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 3892 2246
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 31315365 239412
UOPS_RETIRED.RETIRE_SLOTS 26981114 184237


CPU_CLK_UNHALTED 200659943 95438400
CYCLE_ACTIVITY.STALLS_L1D_MISS 36726096 53826138
CYCLE_ACTIVITY.STALLS_L2_MISS 28342156 18042746
CYCLE_ACTIVITY.STALLS_L3_MISS 16932342 17778320
CYCLE_ACTIVITY.STALLS_MEM_ANY 45752285 36552610
EXE_ACTIVITY.1_PORTS_UTIL 44217400 18528003
EXE_ACTIVITY.2_PORTS_UTIL 37479220 24048943
EXE_ACTIVITY.BOUND_ON_STORES 19735770 9786830
EXE_ACTIVITY.EXE_BOUND_0_PORTS 6671530 3465835
IDQ_UOPS_NOT_DELIVERED.CORE 72338735 99075257
INST_RETIRED 234216219 79844924
INT_MISC.RECOVERY_CYCLES_ANY 2676323 655484
L1D.REPLACEMENT 4987609 2269652
L2_LINES_IN.ALL 5434877 6169396
