here
CPU_CLK_UNHALTED 12916169 29985
CYCLE_ACTIVITY.STALLS_L1D_MISS 21059 772
CYCLE_ACTIVITY.STALLS_L2_MISS 20491 1143
CYCLE_ACTIVITY.STALLS_L3_MISS 127 150
CYCLE_ACTIVITY.STALLS_MEM_ANY 142958 14252
EXE_ACTIVITY.1_PORTS_UTIL 1307287 11034
EXE_ACTIVITY.2_PORTS_UTIL 1266296 7752
EXE_ACTIVITY.BOUND_ON_STORES 999792 5326
EXE_ACTIVITY.EXE_BOUND_0_PORTS 881542 22321
IDQ_UOPS_NOT_DELIVERED.CORE 6469746 112222
INST_RETIRED 3811 55
INT_MISC.RECOVERY_CYCLES_ANY 373040 7226
L1D.REPLACEMENT 814 117
L2_LINES_IN.ALL 5508 22
MEM_INST_RETIRED.ALL_LOADS 8 0
MEM_INST_RETIRED.ALL_STORES 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 132 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 502720 0
UOPS_RETIRED.RETIRE_SLOTS 9266 0


CPU_CLK_UNHALTED 66697246 475715
CYCLE_ACTIVITY.STALLS_L1D_MISS 118837 7044
CYCLE_ACTIVITY.STALLS_L2_MISS 122881 6212
CYCLE_ACTIVITY.STALLS_L3_MISS 657 483
CYCLE_ACTIVITY.STALLS_MEM_ANY 938841 60224
EXE_ACTIVITY.1_PORTS_UTIL 8747626 77830
EXE_ACTIVITY.2_PORTS_UTIL 8990852 71462
EXE_ACTIVITY.BOUND_ON_STORES 7609986 55797
EXE_ACTIVITY.EXE_BOUND_0_PORTS 7278304 106102
IDQ_UOPS_NOT_DELIVERED.CORE 57941884 919721
INST_RETIRED 37574 530
INT_MISC.RECOVERY_CYCLES_ANY 4077142 58578
L1D.REPLACEMENT 9348 1456
L2_LINES_IN.ALL 78875 858
MEM_INST_RETIRED.ALL_LOADS 14 0
MEM_INST_RETIRED.ALL_STORES 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 1356 1248
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 39878146 274332
UOPS_RETIRED.RETIRE_SLOTS 27833542 142274


CPU_CLK_UNHALTED 118932107 1585085
CYCLE_ACTIVITY.STALLS_L1D_MISS 211810 10953
CYCLE_ACTIVITY.STALLS_L2_MISS 216129 11102
CYCLE_ACTIVITY.STALLS_L3_MISS 2333 3785
CYCLE_ACTIVITY.STALLS_MEM_ANY 1646725 145964
EXE_ACTIVITY.1_PORTS_UTIL 16006234 212410
EXE_ACTIVITY.2_PORTS_UTIL 16533234 207275
EXE_ACTIVITY.BOUND_ON_STORES 14081587 166968
EXE_ACTIVITY.EXE_BOUND_0_PORTS 13484934 241681
IDQ_UOPS_NOT_DELIVERED.CORE 108013088 2049652
INST_RETIRED 70445 1111
