here
CPU_CLK_UNHALTED 37433149 6629564
CYCLE_ACTIVITY.STALLS_L1D_MISS 12521761 8041705
CYCLE_ACTIVITY.STALLS_L2_MISS 6318799 4403930
CYCLE_ACTIVITY.STALLS_L3_MISS 824386 585372
CYCLE_ACTIVITY.STALLS_MEM_ANY 2380547 1046281
EXE_ACTIVITY.1_PORTS_UTIL 3761780 717548
EXE_ACTIVITY.2_PORTS_UTIL 5703661 1147751
EXE_ACTIVITY.BOUND_ON_STORES 66011 123384
EXE_ACTIVITY.EXE_BOUND_0_PORTS 291896 5225
IDQ_UOPS_NOT_DELIVERED.CORE 6512805 216664
INST_RETIRED 25618848 589132
INT_MISC.RECOVERY_CYCLES_ANY 2809337 49896
L1D.REPLACEMENT 814148 65667
L2_LINES_IN.ALL 2243 764
MEM_INST_RETIRED.ALL_LOADS 2891406 62670
MEM_INST_RETIRED.ALL_STORES 605744 802
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 7903 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 5478616 0
UOPS_RETIRED.RETIRE_SLOTS 45792 0


CPU_CLK_UNHALTED 235831498 38359379
CYCLE_ACTIVITY.STALLS_L1D_MISS 15621863 40500481
CYCLE_ACTIVITY.STALLS_L2_MISS 7053325 14413279
CYCLE_ACTIVITY.STALLS_L3_MISS 887563 1679586
CYCLE_ACTIVITY.STALLS_MEM_ANY 20945414 4325644
EXE_ACTIVITY.1_PORTS_UTIL 27753168 3117607
EXE_ACTIVITY.2_PORTS_UTIL 43330059 4363276
EXE_ACTIVITY.BOUND_ON_STORES 77197 299326
EXE_ACTIVITY.EXE_BOUND_0_PORTS 8390715 2631560
IDQ_UOPS_NOT_DELIVERED.CORE 201126569 47380498
INST_RETIRED 276301769 13261274
INT_MISC.RECOVERY_CYCLES_ANY 26842988 1475174
L1D.REPLACEMENT 2839302 2771224
L2_LINES_IN.ALL 32870 12556
MEM_INST_RETIRED.ALL_LOADS 61662601 6285667
MEM_INST_RETIRED.ALL_STORES 25107726 5125176
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 228625 419186
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 439271668 4184990
UOPS_RETIRED.RETIRE_SLOTS 259118447 25557280


CPU_CLK_UNHALTED 430378479 66397645
CYCLE_ACTIVITY.STALLS_L1D_MISS 16382602 42427160
CYCLE_ACTIVITY.STALLS_L2_MISS 7123396 13780753
CYCLE_ACTIVITY.STALLS_L3_MISS 933620 1148683
CYCLE_ACTIVITY.STALLS_MEM_ANY 38984640 7930067
EXE_ACTIVITY.1_PORTS_UTIL 51113656 5878701
EXE_ACTIVITY.2_PORTS_UTIL 79098635 8016166
EXE_ACTIVITY.BOUND_ON_STORES 85822 208792
EXE_ACTIVITY.EXE_BOUND_0_PORTS 16512721 5123963
IDQ_UOPS_NOT_DELIVERED.CORE 382250121 89415719
INST_RETIRED 514759559 26784951
INT_MISC.RECOVERY_CYCLES_ANY 51591665 3004854
L1D.REPLACEMENT 4572941 5572280
L2_LINES_IN.ALL 65297 27363
MEM_INST_RETIRED.ALL_LOADS 117664690 12574478
MEM_INST_RETIRED.ALL_STORES 49231946 10116624
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 294808 298256
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 868634330 12595142
UOPS_RETIRED.RETIRE_SLOTS 513060188 52137812


CPU_CLK_UNHALTED 626107630 89576409
CYCLE_ACTIVITY.STALLS_L1D_MISS 17105333 45944051
CYCLE_ACTIVITY.STALLS_L2_MISS 7176168 11660673
CYCLE_ACTIVITY.STALLS_L3_MISS 971379 1042002
CYCLE_ACTIVITY.STALLS_MEM_ANY 56364430 11249741
EXE_ACTIVITY.1_PORTS_UTIL 72970429 8363688
EXE_ACTIVITY.2_PORTS_UTIL 113676833 11588635
EXE_ACTIVITY.BOUND_ON_STORES 95265 191808
EXE_ACTIVITY.EXE_BOUND_0_PORTS 23760325 7338586
IDQ_UOPS_NOT_DELIVERED.CORE 539551456 125515477
INST_RETIRED 747672607 43044732
INT_MISC.RECOVERY_CYCLES_ANY 76550473 4767188
L1D.REPLACEMENT 6191104 8179602
L2_LINES_IN.ALL 97693 40442
MEM_INST_RETIRED.ALL_LOADS 171634956 18972273
MEM_INST_RETIRED.ALL_STORES 74112653 14981804
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 360242 369838
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 1311276281 28419570
UOPS_RETIRED.RETIRE_SLOTS 759350817 76636521


CPU_CLK_UNHALTED 820270212 110769121
CYCLE_ACTIVITY.STALLS_L1D_MISS 17943347 47248368
CYCLE_ACTIVITY.STALLS_L2_MISS 7227550 11100888
CYCLE_ACTIVITY.STALLS_L3_MISS 1003663 1041313
CYCLE_ACTIVITY.STALLS_MEM_ANY 73973586 14217978
EXE_ACTIVITY.1_PORTS_UTIL 96310913 10536394
EXE_ACTIVITY.2_PORTS_UTIL 147270794 15184335
EXE_ACTIVITY.BOUND_ON_STORES 106574 193435
EXE_ACTIVITY.EXE_BOUND_0_PORTS 31334974 9314975
IDQ_UOPS_NOT_DELIVERED.CORE 691793760 160784020
INST_RETIRED 995027497 57134429
INT_MISC.RECOVERY_CYCLES_ANY 100759721 6347087
L1D.REPLACEMENT 7915036 10413571
L2_LINES_IN.ALL 136252 55124
MEM_INST_RETIRED.ALL_LOADS 228132642 24680348
MEM_INST_RETIRED.ALL_STORES 98826550 19323812
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 404887 473857
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 1761469061 43409592
UOPS_RETIRED.RETIRE_SLOTS 1025077848 101476056


CPU_CLK_UNHALTED 1014811186 129231465
CYCLE_ACTIVITY.STALLS_L1D_MISS 18777763 47168983
CYCLE_ACTIVITY.STALLS_L2_MISS 7299090 10592515
CYCLE_ACTIVITY.STALLS_L3_MISS 1049315 1029474
CYCLE_ACTIVITY.STALLS_MEM_ANY 91821500 16905080
EXE_ACTIVITY.1_PORTS_UTIL 119015572 12485464
EXE_ACTIVITY.2_PORTS_UTIL 180954587 18711273
EXE_ACTIVITY.BOUND_ON_STORES 116528 192561
EXE_ACTIVITY.EXE_BOUND_0_PORTS 38691309 11108359
IDQ_UOPS_NOT_DELIVERED.CORE 844412738 193676017
INST_RETIRED 1234017991 75258506
INT_MISC.RECOVERY_CYCLES_ANY 125164534 8481041
L1D.REPLACEMENT 9456474 12507807
L2_LINES_IN.ALL 181469 76321
MEM_INST_RETIRED.ALL_LOADS 289562594 31010343
MEM_INST_RETIRED.ALL_STORES 124971434 23800531
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 448618 587328
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 2214877903 65162794
UOPS_RETIRED.RETIRE_SLOTS 1279029107 128135599


CPU_CLK_UNHALTED 1209424160 145977305
CYCLE_ACTIVITY.STALLS_L1D_MISS 19618607 47228729
CYCLE_ACTIVITY.STALLS_L2_MISS 7378185 10323617
CYCLE_ACTIVITY.STALLS_L3_MISS 1102299 1029380
CYCLE_ACTIVITY.STALLS_MEM_ANY 108713160 19364097
EXE_ACTIVITY.1_PORTS_UTIL 140919071 14407956
EXE_ACTIVITY.2_PORTS_UTIL 214231380 22017186
EXE_ACTIVITY.BOUND_ON_STORES 125794 193667
EXE_ACTIVITY.EXE_BOUND_0_PORTS 45941628 13004107
IDQ_UOPS_NOT_DELIVERED.CORE 977871951 230993618
INST_RETIRED 1478433473 89958989
INT_MISC.RECOVERY_CYCLES_ANY 151637397 10570328
L1D.REPLACEMENT 11487386 14370014
L2_LINES_IN.ALL 214883 91508
MEM_INST_RETIRED.ALL_LOADS 348700381 37826951
MEM_INST_RETIRED.ALL_STORES 150556558 28176920
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 504316 693154
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 2678106217 91059141
UOPS_RETIRED.RETIRE_SLOTS 1540512163 150982072


CPU_CLK_UNHALTED 1403827585 163919619
CYCLE_ACTIVITY.STALLS_L1D_MISS 20472595 48172992
CYCLE_ACTIVITY.STALLS_L2_MISS 7435611 10088355
CYCLE_ACTIVITY.STALLS_L3_MISS 1139808 1025393
CYCLE_ACTIVITY.STALLS_MEM_ANY 125518794 21752411
EXE_ACTIVITY.1_PORTS_UTIL 162982634 16267505
EXE_ACTIVITY.2_PORTS_UTIL 247176874 25527904
EXE_ACTIVITY.BOUND_ON_STORES 136738 193492
EXE_ACTIVITY.EXE_BOUND_0_PORTS 53016077 14608453
IDQ_UOPS_NOT_DELIVERED.CORE 1113228406 273952569
INST_RETIRED 1734156046 107922062
INT_MISC.RECOVERY_CYCLES_ANY 176593977 12590413
L1D.REPLACEMENT 13483854 16171155
L2_LINES_IN.ALL 248621 104343
MEM_INST_RETIRED.ALL_LOADS 410733826 45193308
MEM_INST_RETIRED.ALL_STORES 176781413 32427565
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 564759 789729
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 3145094741 124387144
UOPS_RETIRED.RETIRE_SLOTS 1816013267 177891285


CPU_CLK_UNHALTED 1597850733 179472582
CYCLE_ACTIVITY.STALLS_L1D_MISS 21324901 47712152
CYCLE_ACTIVITY.STALLS_L2_MISS 7482101 10110171
CYCLE_ACTIVITY.STALLS_L3_MISS 1164604 1043755
CYCLE_ACTIVITY.STALLS_MEM_ANY 143115813 23993221
EXE_ACTIVITY.1_PORTS_UTIL 185731226 17905647
EXE_ACTIVITY.2_PORTS_UTIL 282372202 27957168
EXE_ACTIVITY.BOUND_ON_STORES 148038 197693
EXE_ACTIVITY.EXE_BOUND_0_PORTS 60759283 16159605
IDQ_UOPS_NOT_DELIVERED.CORE 1281134273 302282102
INST_RETIRED 1980361316 124057382
INT_MISC.RECOVERY_CYCLES_ANY 200558204 14262955
L1D.REPLACEMENT 15339707 17886613
L2_LINES_IN.ALL 278563 120294
MEM_INST_RETIRED.ALL_LOADS 469494469 50027268
MEM_INST_RETIRED.ALL_STORES 201727137 35686910
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 600832 931956
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 3585855527 144993740
UOPS_RETIRED.RETIRE_SLOTS 2077608717 201030909


CPU_CLK_UNHALTED 1793053895 196133595
CYCLE_ACTIVITY.STALLS_L1D_MISS 22135313 48596654
