here
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
CPU_CLK_UNHALTED 49725392 244888
INST_RETIRED 64227212 427288
MEM_INST_RETIRED.ALL_LOADS 24875229 91257
MEM_INST_RETIRED.ALL_STORES 4047912 22356
L1D.REPLACEMENT 3158375 12492
L2_LINES_IN.ALL 1728653 8758
IDQ_UOPS_NOT_DELIVERED.CORE 0 0
UOPS_ISSUED.ANY 0 0
INT_MISC.RECOVERY_CYCLES_ANY 0 0
UOPS_RETIRED.RETIRE_SLOTS 0 0
CYCLE_ACTIVITY.STALLS_MEM_ANY 0 0
EXE_ACTIVITY.BOUND_ON_STORES 0 0
EXE_ACTIVITY.1_PORTS_UTIL 3095078 27942
EXE_ACTIVITY.2_PORTS_UTIL 2120819 18226
EXE_ACTIVITY.EXE_BOUND_0_PORTS 87236 1383
CYCLE_ACTIVITY.STALLS_L1D_MISS 3491989 23381
CYCLE_ACTIVITY.STALLS_L2_MISS 2142537 0
CYCLE_ACTIVITY.STALLS_L3_MISS 1191704 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 0 0


CPU_CLK_UNHALTED 256737284 777459
INST_RETIRED 322414132 13206349
MEM_INST_RETIRED.ALL_LOADS 130044289 6253198
MEM_INST_RETIRED.ALL_STORES 23471061 576334
L1D.REPLACEMENT 17799961 956700
L2_LINES_IN.ALL 10039012 663926
IDQ_UOPS_NOT_DELIVERED.CORE 91741722 10759700
UOPS_ISSUED.ANY 393046760 1419967
INT_MISC.RECOVERY_CYCLES_ANY 9189872 1369827
UOPS_RETIRED.RETIRE_SLOTS 283620056 14289909
CYCLE_ACTIVITY.STALLS_MEM_ANY 77333303 747907
EXE_ACTIVITY.BOUND_ON_STORES 185956 14082
EXE_ACTIVITY.1_PORTS_UTIL 36326414 1019949
EXE_ACTIVITY.2_PORTS_UTIL 32044474 817052
EXE_ACTIVITY.EXE_BOUND_0_PORTS 1881136 208184
CYCLE_ACTIVITY.STALLS_L1D_MISS 66781283 2152754
CYCLE_ACTIVITY.STALLS_L2_MISS 61118757 1385177
CYCLE_ACTIVITY.STALLS_L3_MISS 50462167 951551
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 1902559 534889
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 39679989 1092159


CPU_CLK_UNHALTED 464819084 1039555
INST_RETIRED 549373718 31339199
MEM_INST_RETIRED.ALL_LOADS 222812966 17397166
MEM_INST_RETIRED.ALL_STORES 42273428 1249061
L1D.REPLACEMENT 29370777 2658565
L2_LINES_IN.ALL 16227483 1832610
IDQ_UOPS_NOT_DELIVERED.CORE 199328080 27046069
UOPS_ISSUED.ANY 745103108 11810338
INT_MISC.RECOVERY_CYCLES_ANY 21270002 3771429
UOPS_RETIRED.RETIRE_SLOTS 506662794 28609785
CYCLE_ACTIVITY.STALLS_MEM_ANY 142979850 3749730
EXE_ACTIVITY.BOUND_ON_STORES 312433 52816
EXE_ACTIVITY.1_PORTS_UTIL 66567033 3130695
EXE_ACTIVITY.2_PORTS_UTIL 63691152 2040180
EXE_ACTIVITY.EXE_BOUND_0_PORTS 3961107 453292
CYCLE_ACTIVITY.STALLS_L1D_MISS 124136501 6535832
CYCLE_ACTIVITY.STALLS_L2_MISS 114415334 5167291
CYCLE_ACTIVITY.STALLS_L3_MISS 96945322 2597566
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 5401674 1592541
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 80280505 1833833


CPU_CLK_UNHALTED 672759507 1260998
INST_RETIRED 764245213 48876061
MEM_INST_RETIRED.ALL_LOADS 311138287 28172261
MEM_INST_RETIRED.ALL_STORES 61023508 1797860
L1D.REPLACEMENT 39271618 4538323
L2_LINES_IN.ALL 21229173 3136480
IDQ_UOPS_NOT_DELIVERED.CORE 320075112 45468266
UOPS_ISSUED.ANY 1107108399 23963281
INT_MISC.RECOVERY_CYCLES_ANY 35389294 6525191
UOPS_RETIRED.RETIRE_SLOTS 718805465 44479422
CYCLE_ACTIVITY.STALLS_MEM_ANY 205473898 7587464
EXE_ACTIVITY.BOUND_ON_STORES 413201 88669
EXE_ACTIVITY.1_PORTS_UTIL 95164601 5470146
EXE_ACTIVITY.2_PORTS_UTIL 96418500 3576524
EXE_ACTIVITY.EXE_BOUND_0_PORTS 6178581 706403
CYCLE_ACTIVITY.STALLS_L1D_MISS 176941442 12595320
CYCLE_ACTIVITY.STALLS_L2_MISS 163935160 10146902
CYCLE_ACTIVITY.STALLS_L3_MISS 140978719 5507631
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 9801722 2781515
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 121777010 3274128


CPU_CLK_UNHALTED 880693574 1460918
INST_RETIRED 966249995 68093914
MEM_INST_RETIRED.ALL_LOADS 393984267 39946528
MEM_INST_RETIRED.ALL_STORES 79314942 2444253
L1D.REPLACEMENT 48153874 6415016
L2_LINES_IN.ALL 25515089 4441126
IDQ_UOPS_NOT_DELIVERED.CORE 454898805 68651793
UOPS_ISSUED.ANY 1480218197 41965310
INT_MISC.RECOVERY_CYCLES_ANY 51506208 9967934
UOPS_RETIRED.RETIRE_SLOTS 922144332 61673885
CYCLE_ACTIVITY.STALLS_MEM_ANY 263524588 14397867
EXE_ACTIVITY.BOUND_ON_STORES 481917 136201
EXE_ACTIVITY.1_PORTS_UTIL 123152507 7546650
EXE_ACTIVITY.2_PORTS_UTIL 130556154 5794799
EXE_ACTIVITY.EXE_BOUND_0_PORTS 8585977 1031177
CYCLE_ACTIVITY.STALLS_L1D_MISS 225035987 20840039
CYCLE_ACTIVITY.STALLS_L2_MISS 208051844 18255311
CYCLE_ACTIVITY.STALLS_L3_MISS 180425222 11796884
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 14191637 3606061
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 161881175 3925329


CPU_CLK_UNHALTED 1088637799 1728589
INST_RETIRED 1162516015 86352591
MEM_INST_RETIRED.ALL_LOADS 474457437 51287247
MEM_INST_RETIRED.ALL_STORES 97538609 3039186
L1D.REPLACEMENT 56342043 8262248
L2_LINES_IN.ALL 29260691 5756941
IDQ_UOPS_NOT_DELIVERED.CORE 598330797 92311690
UOPS_ISSUED.ANY 1862406064 62130626
INT_MISC.RECOVERY_CYCLES_ANY 68742932 13356598
UOPS_RETIRED.RETIRE_SLOTS 1120551841 78195999
CYCLE_ACTIVITY.STALLS_MEM_ANY 318962068 21368649
EXE_ACTIVITY.BOUND_ON_STORES 546758 173734
EXE_ACTIVITY.1_PORTS_UTIL 150761754 9447949
EXE_ACTIVITY.2_PORTS_UTIL 165692510 8255234
EXE_ACTIVITY.EXE_BOUND_0_PORTS 11104427 1365793
CYCLE_ACTIVITY.STALLS_L1D_MISS 269225842 30260601
CYCLE_ACTIVITY.STALLS_L2_MISS 249011260 26971450
CYCLE_ACTIVITY.STALLS_L3_MISS 217195244 18699463
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 18366928 4186734
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 201928291 4848814


CPU_CLK_UNHALTED 1296525001 1907670
INST_RETIRED 1355406200 20368738
MEM_INST_RETIRED.ALL_LOADS 553358769 61781335
MEM_INST_RETIRED.ALL_STORES 115778421 3502064
L1D.REPLACEMENT 63998417 10077620
L2_LINES_IN.ALL 32593731 7067909
IDQ_UOPS_NOT_DELIVERED.CORE 746941046 115058764
UOPS_ISSUED.ANY 2253319931 86420756
INT_MISC.RECOVERY_CYCLES_ANY 86772012 16618467
UOPS_RETIRED.RETIRE_SLOTS 1317101467 92923520
CYCLE_ACTIVITY.STALLS_MEM_ANY 371910520 28747803
EXE_ACTIVITY.BOUND_ON_STORES 606607 208601
EXE_ACTIVITY.1_PORTS_UTIL 177992173 11285220
EXE_ACTIVITY.2_PORTS_UTIL 201199186 10480354
EXE_ACTIVITY.EXE_BOUND_0_PORTS 13745846 1739230
CYCLE_ACTIVITY.STALLS_L1D_MISS 311040346 39722652
CYCLE_ACTIVITY.STALLS_L2_MISS 287044145 36264562
CYCLE_ACTIVITY.STALLS_L3_MISS 251543900 26100472
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 22121060 4590505
