here
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
CPU_CLK_UNHALTED 41989024 318973
INST_RETIRED 59724114 549282
MEM_INST_RETIRED.ALL_LOADS 11788373 123166
MEM_INST_RETIRED.ALL_STORES 4868463 0
L1D.REPLACEMENT 649454 5815
L2_LINES_IN.ALL 68259 1429
IDQ_UOPS_NOT_DELIVERED.CORE 4297971 69293
UOPS_ISSUED.ANY 0 0
INT_MISC.RECOVERY_CYCLES_ANY 0 0
UOPS_RETIRED.RETIRE_SLOTS 0 0
CYCLE_ACTIVITY.STALLS_MEM_ANY 0 0
EXE_ACTIVITY.BOUND_ON_STORES 4343 1024
EXE_ACTIVITY.1_PORTS_UTIL 4739430 58631
EXE_ACTIVITY.2_PORTS_UTIL 0 0
EXE_ACTIVITY.EXE_BOUND_0_PORTS 0 0
CYCLE_ACTIVITY.STALLS_L1D_MISS 0 0
CYCLE_ACTIVITY.STALLS_L2_MISS 0 0
CYCLE_ACTIVITY.STALLS_L3_MISS 39990 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 0 0


CPU_CLK_UNHALTED 215913959 3045518
INST_RETIRED 318778961 5163848
MEM_INST_RETIRED.ALL_LOADS 65932699 1816831
MEM_INST_RETIRED.ALL_STORES 28584618 764469
L1D.REPLACEMENT 4023074 57717
L2_LINES_IN.ALL 447034 13324
IDQ_UOPS_NOT_DELIVERED.CORE 30026239 273291
UOPS_ISSUED.ANY 305859909 2140206
INT_MISC.RECOVERY_CYCLES_ANY 520155 10173
UOPS_RETIRED.RETIRE_SLOTS 295211043 2769473
CYCLE_ACTIVITY.STALLS_MEM_ANY 18547209 145373
EXE_ACTIVITY.BOUND_ON_STORES 28466 16761
EXE_ACTIVITY.1_PORTS_UTIL 57828770 535867
EXE_ACTIVITY.2_PORTS_UTIL 48315316 328518
EXE_ACTIVITY.EXE_BOUND_0_PORTS 14232455 152961
CYCLE_ACTIVITY.STALLS_L1D_MISS 876437 84256
CYCLE_ACTIVITY.STALLS_L2_MISS 507962 42336
CYCLE_ACTIVITY.STALLS_L3_MISS 465806 67155
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 539549 42319


CPU_CLK_UNHALTED 390692545 4681668
INST_RETIRED 573900322 7987440
MEM_INST_RETIRED.ALL_LOADS 118719549 2992615
MEM_INST_RETIRED.ALL_STORES 51705506 1311349
L1D.REPLACEMENT 7318913 96115
L2_LINES_IN.ALL 820295 19965
IDQ_UOPS_NOT_DELIVERED.CORE 55287171 588282
UOPS_ISSUED.ANY 567510195 4520520
INT_MISC.RECOVERY_CYCLES_ANY 952762 28934
UOPS_RETIRED.RETIRE_SLOTS 555709102 3797317
CYCLE_ACTIVITY.STALLS_MEM_ANY 35609627 465309
EXE_ACTIVITY.BOUND_ON_STORES 39677 30136
EXE_ACTIVITY.1_PORTS_UTIL 111421741 920657
EXE_ACTIVITY.2_PORTS_UTIL 92893215 615005
EXE_ACTIVITY.EXE_BOUND_0_PORTS 28750250 1132182
CYCLE_ACTIVITY.STALLS_L1D_MISS 1637534 148679
CYCLE_ACTIVITY.STALLS_L2_MISS 1015289 93375
CYCLE_ACTIVITY.STALLS_L3_MISS 940753 122141
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 1098977 96312


CPU_CLK_UNHALTED 536616134 51153787
INST_RETIRED 770861081 38836426
MEM_INST_RETIRED.ALL_LOADS 157281523 28972254
MEM_INST_RETIRED.ALL_STORES 72080840 5628994
L1D.REPLACEMENT 10278819 600227
L2_LINES_IN.ALL 1424581 503604
IDQ_UOPS_NOT_DELIVERED.CORE 80941897 12694297
UOPS_ISSUED.ANY 782909479 75530358
INT_MISC.RECOVERY_CYCLES_ANY 1544966 798582
UOPS_RETIRED.RETIRE_SLOTS 777082453 42533192
CYCLE_ACTIVITY.STALLS_MEM_ANY 50335679 10133392
EXE_ACTIVITY.BOUND_ON_STORES 4571676 17674690
EXE_ACTIVITY.1_PORTS_UTIL 157087810 24885133
EXE_ACTIVITY.2_PORTS_UTIL 129442338 24261299
EXE_ACTIVITY.EXE_BOUND_0_PORTS 41741797 7641663
CYCLE_ACTIVITY.STALLS_L1D_MISS 2397634 222558
CYCLE_ACTIVITY.STALLS_L2_MISS 1452432 211896
CYCLE_ACTIVITY.STALLS_L3_MISS 1345711 227324
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 1583690 210942


CPU_CLK_UNHALTED 675564658 26332004
INST_RETIRED 1058266910 26001076
MEM_INST_RETIRED.ALL_LOADS 236634076 70345936
MEM_INST_RETIRED.ALL_STORES 93019926 9014507
L1D.REPLACEMENT 18953010 6473646
L2_LINES_IN.ALL 2459825 866621
IDQ_UOPS_NOT_DELIVERED.CORE 194835070 141135683
UOPS_ISSUED.ANY 1075392962 141133991
