here
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
CPU_CLK_UNHALTED 9016316 59877
INST_RETIRED 3857110 23151
MEM_INST_RETIRED.ALL_LOADS 11 0
MEM_INST_RETIRED.ALL_STORES 2971899 8193
L1D.REPLACEMENT 6846 515
L2_LINES_IN.ALL 10961 548
IDQ_UOPS_NOT_DELIVERED.CORE 1637651 24568
UOPS_ISSUED.ANY 4684667 60647
INT_MISC.RECOVERY_CYCLES_ANY 0 0
UOPS_RETIRED.RETIRE_SLOTS 2946764 0
CYCLE_ACTIVITY.STALLS_MEM_ANY 71024 0
EXE_ACTIVITY.BOUND_ON_STORES 966135 0
EXE_ACTIVITY.1_PORTS_UTIL 875565 12367
EXE_ACTIVITY.2_PORTS_UTIL 293390 494
EXE_ACTIVITY.EXE_BOUND_0_PORTS 145162 800
CYCLE_ACTIVITY.STALLS_L1D_MISS 7050 241
CYCLE_ACTIVITY.STALLS_L2_MISS 0 0
CYCLE_ACTIVITY.STALLS_L3_MISS 0 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 0 0


CPU_CLK_UNHALTED 46159149 244524
INST_RETIRED 20863584 73964
MEM_INST_RETIRED.ALL_LOADS 19 0
MEM_INST_RETIRED.ALL_STORES 17695609 69784
L1D.REPLACEMENT 34388 6458
L2_LINES_IN.ALL 65925 6390
IDQ_UOPS_NOT_DELIVERED.CORE 11664629 76282
UOPS_ISSUED.ANY 35789990 210096
INT_MISC.RECOVERY_CYCLES_ANY 1899246 6486
UOPS_RETIRED.RETIRE_SLOTS 30620717 246742
CYCLE_ACTIVITY.STALLS_MEM_ANY 699226 80581
EXE_ACTIVITY.BOUND_ON_STORES 12176747 97613
EXE_ACTIVITY.1_PORTS_UTIL 10774609 86001
EXE_ACTIVITY.2_PORTS_UTIL 4075359 28714
EXE_ACTIVITY.EXE_BOUND_0_PORTS 2437468 13851
CYCLE_ACTIVITY.STALLS_L1D_MISS 131879 9502
CYCLE_ACTIVITY.STALLS_L2_MISS 128029 8562
CYCLE_ACTIVITY.STALLS_L3_MISS 8567 6862
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 8672 6731


CPU_CLK_UNHALTED 224384710 51238290
INST_RETIRED 275363655 44256151
MEM_INST_RETIRED.ALL_LOADS 52552780 50401458
MEM_INST_RETIRED.ALL_STORES 31864726 14525467
L1D.REPLACEMENT 7905970 6951952
L2_LINES_IN.ALL 6390877 5065627
IDQ_UOPS_NOT_DELIVERED.CORE 80652108 77081961
UOPS_ISSUED.ANY 305345055 56248738
INT_MISC.RECOVERY_CYCLES_ANY 2314388 1225469
UOPS_RETIRED.RETIRE_SLOTS 304360563 39407457
CYCLE_ACTIVITY.STALLS_MEM_ANY 25837307 27689592
EXE_ACTIVITY.BOUND_ON_STORES 29062142 26432339
EXE_ACTIVITY.1_PORTS_UTIL 45886918 22596752
EXE_ACTIVITY.2_PORTS_UTIL 42520337 33376667
EXE_ACTIVITY.EXE_BOUND_0_PORTS 7780503 6338910
CYCLE_ACTIVITY.STALLS_L1D_MISS 32889838 44355191
CYCLE_ACTIVITY.STALLS_L2_MISS 39770282 66037550
CYCLE_ACTIVITY.STALLS_L3_MISS 38102309 62425922
