here
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
CPU_CLK_UNHALTED 13489389 13493
INST_RETIRED 8008 4
MEM_INST_RETIRED.ALL_LOADS 23 0
MEM_INST_RETIRED.ALL_STORES 0 0
L1D.REPLACEMENT 1772 203
L2_LINES_IN.ALL 13381 127
IDQ_UOPS_NOT_DELIVERED.CORE 8749296 22897
UOPS_ISSUED.ANY 6153490 21057
INT_MISC.RECOVERY_CYCLES_ANY 534588 1570
UOPS_RETIRED.RETIRE_SLOTS 3612187 11062
CYCLE_ACTIVITY.STALLS_MEM_ANY 80619 7624
EXE_ACTIVITY.BOUND_ON_STORES 692952 1153
EXE_ACTIVITY.1_PORTS_UTIL 667298 372
EXE_ACTIVITY.2_PORTS_UTIL 604680 1613
EXE_ACTIVITY.EXE_BOUND_0_PORTS 0 0
CYCLE_ACTIVITY.STALLS_L1D_MISS 0 0
CYCLE_ACTIVITY.STALLS_L2_MISS 0 0
CYCLE_ACTIVITY.STALLS_L3_MISS 0 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 0 0


CPU_CLK_UNHALTED 67731377 167485
INST_RETIRED 42097 72
MEM_INST_RETIRED.ALL_LOADS 53 0
MEM_INST_RETIRED.ALL_STORES 0 0
L1D.REPLACEMENT 10335 969
L2_LINES_IN.ALL 86655 404
IDQ_UOPS_NOT_DELIVERED.CORE 60792315 214093
UOPS_ISSUED.ANY 45900590 147426
INT_MISC.RECOVERY_CYCLES_ANY 4283748 10121
UOPS_RETIRED.RETIRE_SLOTS 31675942 106978
CYCLE_ACTIVITY.STALLS_MEM_ANY 834882 105860
EXE_ACTIVITY.BOUND_ON_STORES 7394744 30049
EXE_ACTIVITY.1_PORTS_UTIL 8052273 29167
EXE_ACTIVITY.2_PORTS_UTIL 8423340 33486
EXE_ACTIVITY.EXE_BOUND_0_PORTS 6931298 11086
CYCLE_ACTIVITY.STALLS_L1D_MISS 97833 2474
CYCLE_ACTIVITY.STALLS_L2_MISS 103710 2941
CYCLE_ACTIVITY.STALLS_L3_MISS 2540 1737
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 2773 2019


CPU_CLK_UNHALTED 122019109 267217
INST_RETIRED 76215 135
MEM_INST_RETIRED.ALL_LOADS 65 0
MEM_INST_RETIRED.ALL_STORES 0 0
L1D.REPLACEMENT 18273 1409
L2_LINES_IN.ALL 159679 704
IDQ_UOPS_NOT_DELIVERED.CORE 112882260 342030
UOPS_ISSUED.ANY 85706361 226369
INT_MISC.RECOVERY_CYCLES_ANY 8046328 17568
