here
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
CPU_CLK_UNHALTED 49541626 64285
INST_RETIRED 57493444 196469
MEM_INST_RETIRED.ALL_LOADS 15054192 80220
MEM_INST_RETIRED.ALL_STORES 4929042 42717
L1D.REPLACEMENT 106384 2521
L2_LINES_IN.ALL 665 95
IDQ_UOPS_NOT_DELIVERED.CORE 41453823 289768
UOPS_ISSUED.ANY 64974558 158910
INT_MISC.RECOVERY_CYCLES_ANY 3241385 13793
UOPS_RETIRED.RETIRE_SLOTS 33130962 162298
CYCLE_ACTIVITY.STALLS_MEM_ANY 3283295 25108
EXE_ACTIVITY.BOUND_ON_STORES 0 0
EXE_ACTIVITY.1_PORTS_UTIL 0 0
EXE_ACTIVITY.2_PORTS_UTIL 0 0
EXE_ACTIVITY.EXE_BOUND_0_PORTS 0 0
CYCLE_ACTIVITY.STALLS_L1D_MISS 0 0
CYCLE_ACTIVITY.STALLS_L2_MISS 0 0
CYCLE_ACTIVITY.STALLS_L3_MISS 0 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 0 0


CPU_CLK_UNHALTED 258184985 423215
INST_RETIRED 311673745 1460044
MEM_INST_RETIRED.ALL_LOADS 85122844 473992
MEM_INST_RETIRED.ALL_STORES 29268332 221823
L1D.REPLACEMENT 766277 58685
L2_LINES_IN.ALL 2949 735
IDQ_UOPS_NOT_DELIVERED.CORE 297141510 1595639
UOPS_ISSUED.ANY 497800691 2227029
INT_MISC.RECOVERY_CYCLES_ANY 26591566 250358
UOPS_RETIRED.RETIRE_SLOTS 298760630 2053052
CYCLE_ACTIVITY.STALLS_MEM_ANY 32159319 171164
EXE_ACTIVITY.BOUND_ON_STORES 1992 182
EXE_ACTIVITY.1_PORTS_UTIL 33285186 172923
EXE_ACTIVITY.2_PORTS_UTIL 40220337 466361
EXE_ACTIVITY.EXE_BOUND_0_PORTS 4082380 32935
CYCLE_ACTIVITY.STALLS_L1D_MISS 1148888 35865
CYCLE_ACTIVITY.STALLS_L2_MISS 142282 24679
CYCLE_ACTIVITY.STALLS_L3_MISS 121706 22241
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 153486 20277


CPU_CLK_UNHALTED 466040652 1506016
INST_RETIRED 564524346 3833192
MEM_INST_RETIRED.ALL_LOADS 153525055 2183267
MEM_INST_RETIRED.ALL_STORES 53013674 750611
L1D.REPLACEMENT 1678278 196549
L2_LINES_IN.ALL 15164 26279
IDQ_UOPS_NOT_DELIVERED.CORE 553659450 2792898
UOPS_ISSUED.ANY 931785933 4492369
INT_MISC.RECOVERY_CYCLES_ANY 49663707 602715
UOPS_RETIRED.RETIRE_SLOTS 565509706 5165721
CYCLE_ACTIVITY.STALLS_MEM_ANY 60981213 452503
EXE_ACTIVITY.BOUND_ON_STORES 7570 9073
EXE_ACTIVITY.1_PORTS_UTIL 64054462 408310
EXE_ACTIVITY.2_PORTS_UTIL 78063429 924107
EXE_ACTIVITY.EXE_BOUND_0_PORTS 7885822 65266
CYCLE_ACTIVITY.STALLS_L1D_MISS 2420138 235635
CYCLE_ACTIVITY.STALLS_L2_MISS 272733 56075
CYCLE_ACTIVITY.STALLS_L3_MISS 224739 47996
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 285596 58940


CPU_CLK_UNHALTED 674551036 1897708
INST_RETIRED 819225211 5008422
MEM_INST_RETIRED.ALL_LOADS 223033604 2843297
MEM_INST_RETIRED.ALL_STORES 77187309 995372
